x(longitude),y(latitude),sido,sulfur_dioxide,ozone_concentration,nitrogen_dioxide,air_pollution
126.98,37.53,seoul,0.008,0.008,0.044,64
129.03,35.06,busan,0.006,0.018,0.024,50
128.55,35.82,daegu,0.009,0.012,0.028,56
126.68,37.48,incheon,0.009,0.014,0.031,71
126.84,35.15,guangju,0.007,0.011,0.033,65
127.36,36.30,daejung,0.006,0.009,0.025,54
129.39,35.54,ulsan,0.006,0.018,0.024,40
126.61,35.58,gunsan,0.007,0.018,0.018,50
127.44,34.75,yeosu,0.010,0.020,0.016,44
126.42,34.78,mocpo,0.006,0.021,0.009,53
129.40,36.03,pohang,0.009,0.024,0.025,53
126.55,33.46,jeju,0.006,0.032,0.016,49
