연월,출하지수,재고지수
Jan-80,7.9 ,10.6 
Feb-80,7.7 ,10.2 
Mar-80,7.6 ,11.0 
Apr-80,7.4 ,11.3 
May-80,7.4 ,12.1 
Jun-80,7.5 ,12.6 
Jul-80,7.7 ,12.5 
Aug-80,7.7 ,12.9 
Sep-80,7.7 ,12.9 
Oct-80,8.0 ,12.8 
Nov-80,8.1 ,12.9 
Dec-80,8.1 ,12.2 
Jan-81,8.2 ,12.2 
Feb-81,8.1 ,12.3 
Mar-81,8.6 ,12.6 
Apr-81,8.6 ,12.9 
May-81,8.4 ,13.0 
Jun-81,8.6 ,13.1 
Jul-81,8.6 ,13.1 
Aug-81,9.0 ,13.3 
Sep-81,8.7 ,13.9 
Oct-81,8.8 ,14.2 
Nov-81,8.9 ,14.5 
Dec-81,8.9 ,14.5 
Jan-82,8.3 ,14.7 
Feb-82,8.5 ,14.9 
Mar-82,8.7 ,15.2 
Apr-82,8.7 ,15.7 
May-82,8.8 ,15.6 
Jun-82,8.8 ,15.3 
Jul-82,9.0 ,15.5 
Aug-82,8.9 ,14.9 
Sep-82,9.2 ,14.8 
Oct-82,9.2 ,14.9 
Nov-82,9.2 ,15.2 
Dec-82,9.4 ,14.7 
Jan-83,9.2 ,15.4 
Feb-83,9.6 ,15.2 
Mar-83,9.7 ,15.2 
Apr-83,10.0 ,14.9 
May-83,10.4 ,14.8 
Jun-83,10.5 ,14.8 
Jul-83,10.5 ,15.0 
Aug-83,10.7 ,15.1 
Sep-83,10.9 ,15.2 
Oct-83,10.9 ,15.3 
Nov-83,11.0 ,15.2 
Dec-83,10.9 ,14.9 
Jan-84,11.2 ,15.3 
Feb-84,11.3 ,15.6 
Mar-84,11.5 ,15.8 
Apr-84,11.7 ,16.1 
May-84,11.9 ,16.2 
Jun-84,11.9 ,16.6 
Jul-84,12.0 ,16.8 
Aug-84,12.1 ,17.2 
Sep-84,11.7 ,17.5 
Oct-84,12.2 ,17.5 
Nov-84,12.2 ,17.5 
Dec-84,12.2 ,17.5 
Jan-85,11.5 ,17.4 
Feb-85,11.9 ,17.8 
Mar-85,11.9 ,17.9 
Apr-85,12.3 ,18.1 
May-85,12.2 ,18.5 
Jun-85,12.1 ,18.5 
Jul-85,12.2 ,17.9 
Aug-85,12.3 ,18.5 
Sep-85,12.5 ,18.5 
Oct-85,12.7 ,18.5 
Nov-85,12.8 ,17.9 
Dec-85,13.5 ,18.2 
Jan-86,13.5 ,19.0 
Feb-86,13.6 ,19.8 
Mar-86,14.0 ,19.8 
Apr-86,14.8 ,19.3 
May-86,15.0 ,19.4 
Jun-86,15.1 ,19.4 
Jul-86,14.9 ,19.7 
Aug-86,15.5 ,20.0 
Sep-86,15.8 ,19.5 
Oct-86,15.9 ,19.4 
Nov-86,15.9 ,19.8 
Dec-86,16.1 ,20.1 
Jan-87,16.0 ,21.0 
Feb-87,16.4 ,21.5 
Mar-87,16.9 ,22.2 
Apr-87,17.4 ,22.5 
May-87,17.9 ,22.5 
Jun-87,18.5 ,22.2 
Jul-87,18.1 ,22.3 
Aug-87,16.5 ,21.5 
Sep-87,18.3 ,20.4 
Oct-87,19.4 ,21.1 
Nov-87,19.5 ,22.5 
Dec-87,20.1 ,21.9 
Jan-88,19.9 ,23.9 
Feb-88,20.0 ,23.9 
Mar-88,20.1 ,23.5 
Apr-88,19.8 ,23.1 
May-88,19.5 ,23.4 
Jun-88,19.4 ,24.1 
Jul-88,20.2 ,24.4 
Aug-88,21.2 ,24.4 
Sep-88,20.5 ,25.2 
Oct-88,20.9 ,26.0 
Nov-88,21.1 ,26.7 
Dec-88,20.5 ,27.2 
Jan-89,20.6 ,28.2 
Feb-89,20.8 ,28.0 
Mar-89,20.9 ,27.7 
Apr-89,20.5 ,26.6 
May-89,20.7 ,26.9 
Jun-89,20.6 ,28.4 
Jul-89,21.3 ,28.5 
Aug-89,22.2 ,30.0 
Sep-89,22.1 ,30.3 
Oct-89,21.4 ,30.3 
Nov-89,21.9 ,31.9 
Dec-89,22.1 ,32.2 
Jan-90,21.5 ,33.2 
Feb-90,22.3 ,33.6 
Mar-90,23.3 ,33.9 
Apr-90,23.3 ,33.6 
May-90,22.5 ,34.3 
Jun-90,23.1 ,34.6 
Jul-90,23.9 ,34.3 
Aug-90,24.5 ,34.1 
Sep-90,24.8 ,33.5 
Oct-90,24.6 ,33.8 
Nov-90,24.2 ,34.7 
Dec-90,25.1 ,35.2 
Jan-91,24.4 ,36.1 
Feb-91,25.0 ,36.4 
Mar-91,25.0 ,37.5 
Apr-91,25.5 ,38.0 
May-91,25.6 ,37.6 
Jun-91,25.4 ,37.9 
Jul-91,25.5 ,38.9 
Aug-91,26.7 ,39.4 
Sep-91,26.6 ,40.5 
Oct-91,26.9 ,40.4 
Nov-91,26.9 ,41.1 
Dec-91,27.0 ,42.0 
Jan-92,26.3 ,42.1 
Feb-92,27.1 ,43.5 
Mar-92,27.8 ,43.2 
Apr-92,27.1 ,44.2 
May-92,27.1 ,44.4 
Jun-92,27.7 ,44.7 
Jul-92,27.7 ,45.1 
Aug-92,28.0 ,45.1 
Sep-92,27.4 ,45.7 
Oct-92,27.5 ,45.1 
Nov-92,27.1 ,45.3 
Dec-92,27.7 ,45.0 
Jan-93,27.2 ,45.9 
Feb-93,27.1 ,45.7 
Mar-93,28.5 ,46.1 
Apr-93,28.4 ,46.0 
May-93,28.6 ,45.8 
Jun-93,28.5 ,46.6 
Jul-93,28.7 ,47.2 
Aug-93,28.9 ,47.0 
Sep-93,29.8 ,46.3 
Oct-93,29.6 ,45.7 
Nov-93,29.5 ,46.4 
Dec-93,30.9 ,46.0 
Jan-94,30.0 ,47.3 
Feb-94,30.5 ,47.6 
Mar-94,31.1 ,47.7 
Apr-94,31.2 ,47.4 
May-94,32.0 ,48.7 
Jun-94,32.5 ,48.7 
Jul-94,31.7 ,47.8 
Aug-94,32.3 ,48.1 
Sep-94,33.2 ,48.9 
Oct-94,33.6 ,49.0 
Nov-94,34.4 ,49.0 
Dec-94,34.2 ,49.3 
Jan-95,35.4 ,49.1 
Feb-95,35.0 ,49.4 
Mar-95,36.0 ,50.5 
Apr-95,36.5 ,51.3 
May-95,36.0 ,51.6 
Jun-95,37.0 ,51.9 
Jul-95,36.5 ,53.6 
Aug-95,36.7 ,53.7 
Sep-95,36.6 ,54.0 
Oct-95,36.9 ,55.1 
Nov-95,37.1 ,55.1 
Dec-95,38.0 ,55.5 
